ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.02.CB.41,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.08,0.95,3,linear,15950.25,49.8,49.84,18000,0.93,True
BasicPPO.02.CB.42,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.08,0.95,4,linear,16254.41,50.3,50.15,18000,0.93,True
BasicPPO.02.CB.43,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.08,0.95,5,linear,15948.23,49.4,49.25,16000,0.93,True
BasicPPO.02.CB.44,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.08,0.95,6,linear,17180.45,53.1,52.59,14000,0.93,True
BasicPPO.02.CB.45,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.08,0.95,7,linear,16950.7,53.1,52.9,14000,0.93,True
BasicPPO.02.CB.46,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.12,0.95,3,linear,17558.51,52.7,52.89,2000,0.651,False
BasicPPO.02.CB.47,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.12,0.95,4,linear,16901.07,52.1,52.36,14000,0.93,True
BasicPPO.02.CB.48,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.12,0.95,5,linear,16775.24,52.5,52.17,12000,0.93,True
BasicPPO.02.CB.49,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.12,0.95,6,linear,16939.05,53.0,52.34,12000,0.93,True
BasicPPO.02.CB.5,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.04,0.95,7,linear,17098.66,53.0,53.02,14000,0.93,True
BasicPPO.02.CB.50,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.12,0.95,7,linear,17340.64,54.3,53.8,12000,0.93,True
BasicPPO.02.CB.51,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.14,0.95,3,linear,17751.98,55.6,55.19,2000,0.702,False
BasicPPO.02.CB.52,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.14,0.95,4,linear,17806.51,55.1,55.17,14000,0.93,True
BasicPPO.02.CB.53,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.14,0.95,5,linear,17757.45,55.5,55.33,14000,0.93,True
BasicPPO.02.CB.54,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.14,0.95,6,linear,17828.11,55.7,55.65,12000,0.93,True
BasicPPO.02.CB.55,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.14,0.95,7,linear,17808.09,54.2,54.17,14000,0.93,True
BasicPPO.02.CB.56,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.16,0.95,3,linear,17348.49,53.2,53.84,18000,0.93,True
BasicPPO.02.CB.57,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.16,0.95,4,linear,17626.14,55.0,53.77,14000,0.93,True
